index,tbl,idx,stat
0,EditorBoard,sqlite_autoindex_EditorBoard_1,2199 440 12 3 3 1
1,DOICorr,sqlite_autoindex_DOICorr_1,15657 1
2,NBER,sqlite_autoindex_NBER_1,2159 1
3,InstAlias,sqlite_autoindex_InstAlias_1,3047 3 1
4,NBERStat,sqlite_autoindex_NBERStat_1,23749 11 1
5,AuthorCorr,AuthorCorr_ArticleID_Index,17363 2
6,AuthorCorr,AuthorCorr_AuthorID_Index,17363 3
7,AuthorCorr,sqlite_autoindex_AuthorCorr_1,17363 3 1
8,ReadStat,ReadStat_StatName,106535 9685
9,ReadStat,ReadStat_ArticleID,106535 11
10,ReadStat,sqlite_autoindex_ReadStat_1,106535 11 1
11,Inst,,1039
12,InstCorr,InstCorr_AuthorID_Index,21508 3
13,InstCorr,InstCorr_ArticleID_Index,21508 3
14,InstCorr,InstCorr_InstID_Index,21508 21
15,InstCorr,sqlite_autoindex_InstCorr_1,21508 3 2 1
16,AuthorAlias,sqlite_autoindex_AuthorAlias_1,8037 2 1
17,Author,Author_Sex_Index,7401 3701
18,NBERCorr,sqlite_autoindex_NBERCorr_1,2100 1 1
19,JEL,sqlite_autoindex_JEL_1,17799 4 1
